"Region","Year","AgeLow","AgeUp","Sex","Deaths","Qx","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"Eastern Europe and central Asia",2011,10,14,"B",7781,1.53982,0.00537,0.05399,0.00794,0.00634,0,0.05543,0.02226,0.17492,0.30409,0.08001,0.10611,0.17216,0.0071,0.00429
"Eastern Europe and central Asia",2012,10,14,"B",7408,1.47945,0.00692,0.05331,0.00769,0.0065,0,0.05336,0.02346,0.17757,0.30858,0.08025,0.10241,0.17087,0.00128,0.00781
"Eastern Europe and central Asia",2013,10,14,"B",7135,1.42464,0.00809,0.05299,0.00758,0.0063,0,0.05199,0.02328,0.18198,0.31709,0.07658,0.10077,0.17056,0.00045,0.00233
"Eastern Europe and central Asia",2014,10,14,"B",7076,1.40709,0.00843,0.05486,0.00716,0.00638,0,0.04876,0.02304,0.18105,0.31031,0.0747,0.097,0.16479,0.02184,0.00167
"Eastern Europe and central Asia",2015,10,14,"B",6791,1.33398,0.00877,0.05731,0.00723,0.00677,0,0.04739,0.0239,0.18063,0.31491,0.0747,0.09497,0.16753,0.00073,0.01515
"Eastern Europe and central Asia",2016,10,14,"B",6700,1.29469,0.00904,0.05263,0.00728,0.00646,0,0.04686,0.02379,0.18379,0.32177,0.07137,0.09359,0.16689,0.00013,0.01641
"Eastern Europe and central Asia",2017,10,14,"B",6646,1.25508,0.0075,0.05622,0.00685,0.00658,0,0.0469,0.02373,0.18737,0.32937,0.06972,0.09056,0.16911,0.0009,0.0052
"Eastern Europe and central Asia",2018,10,14,"B",6595,1.21507,0.00633,0.05597,0.00658,0.00658,0,0.04712,0.02425,0.186,0.331,0.06884,0.08882,0.16657,0.00068,0.01127
"Eastern Europe and central Asia",2019,10,14,"B",6532,1.17364,0.00383,0.05644,0.00627,0.00665,0,0.04951,0.02463,0.18952,0.33546,0.06849,0.08684,0.16884,0.00024,0.00327
"Latin America and Caribbean",2000,10,14,"B",22406,2.05466,0.00774,0.04983,0.00878,0.01725,0.00149,0.09968,0.02958,0.12519,0.2456,0.07424,0.12853,0.20738,0.00455,0.00016
"Latin America and Caribbean",2001,10,14,"B",22181,2.02951,0.00864,0.04875,0.00697,0.01529,0.00152,0.09703,0.02865,0.12176,0.2535,0.07238,0.12549,0.21193,0.00803,0.00006
"Latin America and Caribbean",2002,10,14,"B",21787,1.98781,0.01004,0.04747,0.00581,0.01479,0.00137,0.09116,0.02908,0.12993,0.26086,0.07396,0.12083,0.20941,0.00516,0.00012
"Latin America and Caribbean",2003,10,14,"B",21551,1.95949,0.01014,0.04863,0.00714,0.01266,0.00121,0.09033,0.02955,0.12565,0.27647,0.06925,0.12286,0.20065,0.00538,0.00006
"Latin America and Caribbean",2004,10,14,"B",21774,1.97241,0.0117,0.04886,0.0063,0.0134,0.00108,0.08709,0.02878,0.12877,0.2621,0.06987,0.12223,0.19663,0.02284,0.00034
"Latin America and Caribbean",2005,10,14,"B",21290,1.92251,0.01179,0.046,0.00644,0.01186,0.0007,0.08702,0.02844,0.13523,0.25635,0.07001,0.12687,0.20946,0.0096,0.00021
"Latin America and Caribbean",2006,10,14,"B",20992,1.89212,0.0114,0.04887,0.00597,0.01237,0.00078,0.08339,0.02723,0.13392,0.27922,0.06858,0.12622,0.19759,0.00414,0.00034
"Latin America and Caribbean",2007,10,14,"B",20791,1.87183,0.01234,0.04655,0.00572,0.01055,0.0006,0.08451,0.02929,0.13855,0.27141,0.06776,0.11976,0.20531,0.00763,0
